Rank_x,Player,REC_RECEIVING,TGT_RECEIVING,YDS_RECEIVING,Y/R_RECEIVING,LG_RECEIVING,20+_RECEIVING,TD_RECEIVING,ATT_RUSHING,YDS_RUSHING,TD_RUSHING,FL_MISC,G_MISC,FPTS_MISC,FPTS/G_MISC,ROST_MISC,Season,pid,Rank_y,Player Team (Bye),POS,Yahoo,Sleeper,RTSports,AVG
82,Neal Sterling (FA),6,11,82,13.7,35,1,0,0,0,0,0,11,11.2,1.0,0.0%,2017,14116,,,,,,,
83,Ross Travis (FA),7,17,76,10.9,20,1,0,0,0,0,0,15,11.1,0.7,0.0%,2017,14613,,,,,,,
84,Derek Carrier (FA),8,11,71,8.9,17,0,0,0,0,0,0,14,11.1,0.8,0.0%,2017,11417,,,,,,,
85,Luke Stocker (FA),4,5,30,7.5,12,0,1,0,0,0,0,12,11.0,0.9,0.0%,2017,9948,,,,,,,
86,Ben Koyack (FA),5,7,38,7.6,21,1,0,0,0,0,0,16,8.3,0.5,0.0%,2017,13958,,,,,,,
87,Alan Cross (FA),5,6,58,11.6,23,1,0,0,0,0,0,8,8.3,1.0,0.0%,2017,16217,,,,,,,
88,Jeremy Sprinkle (FA),2,3,13,6.5,7,0,1,0,0,0,0,11,8.3,0.8,0.0%,2017,16461,,,,,,,
89,Jacob Hollister (LV),4,11,42,10.5,19,0,0,1,5,0,0,15,6.7,0.4,0.0%,2017,16527,,,,,,,
90,Michael Roberts (FA),4,7,46,11.5,23,1,0,0,0,0,0,15,6.6,0.4,0.0%,2017,16500,,,,,,,
91,Sean McGrath (FA),4,4,46,11.5,23,1,0,0,0,0,0,15,6.6,0.4,0.0%,2017,11888,,,,,,,
92,Tyler Eifert (FA),4,5,46,11.5,22,1,0,0,0,0,0,2,6.6,3.3,0.0%,2017,11692,,,,,,,
93,Orson Charles (FA),2,2,53,26.5,35,1,0,0,0,0,0,5,6.3,1.3,0.0%,2017,11224,,,,,,,
94,Will Tye (FA),4,6,38,9.5,21,1,0,0,0,0,0,3,5.8,1.9,0.0%,2017,14439,,,,,,,
95,Blake Bell (KC),3,4,19,6.3,12,0,0,0,0,0,0,13,5.4,0.4,0.1%,2017,13966,,,,,,,
96,Ifeanyi Momah (FA),1,2,46,46.0,46,1,0,0,0,0,0,9,5.1,0.6,0.0%,2017,13233,,,,,,,
97,Randall Telfer (FA),3,4,36,12.0,20,1,0,0,0,0,0,16,5.1,0.3,0.0%,2017,14093,,,,,,,
98,Darrell Daniels (DET),3,13,26,8.7,13,0,0,0,0,0,0,12,4.1,0.3,0.0%,2017,16582,,,,,,,
99,Emanuel Byrd (FA),2,2,31,15.5,29,1,0,0,0,0,0,1,4.1,4.1,0.0%,2017,16926,,,,,,,
100,Geoff Swaim (ARI),2,2,25,12.5,18,0,0,0,0,0,0,15,3.5,0.2,0.0%,2017,14164,,,,,,,
101,Antony Auclair (FA),2,2,25,12.5,14,0,0,0,0,0,0,8,3.5,0.4,0.0%,2017,16501,,,,,,,
102,MarQueis Gray (FA),1,3,10,10.0,10,0,0,5,14,0,0,16,2.9,0.2,0.0%,2017,11865,,,,,,,
103,Chris Manhertz (DEN),2,4,17,8.5,11,0,0,0,0,0,0,16,2.7,0.2,0.0%,2017,14014,,,,,,,
104,Cole Hikutini (FA),2,3,15,7.5,10,0,0,0,0,0,0,4,2.5,0.6,0.0%,2017,16503,,,,,,,
105,Jeff Cumberland (FA),2,3,2,1.0,2,0,0,0,0,0,0,7,1.2,0.2,0.0%,2017,11051,,,,,,,
106,Garrett Griffin (FA),1,1,4,4.0,4,0,0,0,0,0,0,3,0.9,0.3,0.0%,2017,16252,,,,,,,
107,Ryan Malleck (FA),1,1,3,3.0,3,0,0,0,0,0,0,2,0.8,0.4,0.0%,2017,15829,,,,,,,
108,Gavin Escobar (FA),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2017,11693,,,,,,,
109,Logan Paulsen (FA),0,2,0,0.0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%,2017,9850,,,,,,,
110,Ryan Hewitt (FA),2,2,22,11.0,16,0,0,0,0,0,0,13,0.0,0.0,0.0%,2017,12881,,,,,,,
111,Kelvin Benjamin (FA),48,78,692,14.4,43,10,3,0,0,0,0,14,0.0,0.0,0.1%,2017,12121,,,,,,,
112,Jordan Matthews (FA),25,36,282,11.3,47,3,1,0,0,0,1,10,0.0,0.0,0.0%,2017,12124,,,,,,,
113,Clark Harris (FA),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2017,9128,,,,,,,
114,Jim Dray (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2017,9794,,,,,,,
115,John Phillips (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2017,9312,,,,,,,
116,Tyrone Swoopes (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2017,17094,,,,,,,
117,Taysom Hill (NO),0,0,0,0.0,0,0,0,0,0,0,0,5,0.0,0.0,14.2%,2017,17115,,,,,,,
118,Shane Smith (FA),0,0,0,0.0,0,0,0,0,0,0,0,11,0.0,0.0,0.1%,2017,17131,,,,,,,
119,Eric Saubert (MIA),0,0,0,0.0,0,0,0,0,0,0,0,14,0.0,0.0,0.1%,2017,16706,,,,,,,
120,Cethan Carter (FA),0,1,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2017,16543,,,,,,,
121,Blake Jarwin (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,4.0%,2017,16638,,,,,,,
122,Lorenzo Jerome (FA),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,2017,16725,,,,,,,
123,Pharaoh Brown (IND),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2017,16937,,,,,,,
124,Johnny Mundt (MIN),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%,2017,16743,,,,,,,
125,Evan Baylis (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2017,16878,,,,,,,
126,Sean Culkin (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2017,16912,,,,,,,
127,Jason Vander Laan (FA),0,0,0,0.0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,2017,16341,,,,,,,
128,Vince Mayle (FA),0,1,0,0.0,0,0,0,2,2,1,0,16,0.0,0.0,0.0%,2017,13978,,,,,,,
129,Jake Fisher (FA),0,0,0,0.0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%,2017,14031,,,,,,,
130,Matt Lengel (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2017,14079,,,,,,,
131,Khari Lee (FA),0,0,0,0.0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%,2017,14119,,,,,,,
132,MyCole Pruitt (ATL),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2017,13964,,,,,,,
133,Gabe Holmes (FA),0,1,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2017,14282,,,,,,,
134,Matt LaCosse (FA),0,1,0,0.0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%,2017,14288,,,,,,,
135,Devin Funchess (FA),63,111,840,13.3,44,15,8,0,0,0,0,16,0.0,0.0,0.0%,2017,13915,,,,,,,
136,Kyle Nelson (FA),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2017,13862,,,,,,,
137,Ryan O'Malley (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2017,16114,,,,,,,
138,Hakeem Valles (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2017,15924,,,,,,,
139,Zach Wood (NO),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2017,16132,,,,,,,
140,Kyle Carter (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2017,15862,,,,,,,
141,Mitchell Loewen (FA),0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2017,16251,,,,,,,
142,James Winchester (KC),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2017,15246,,,,,,,
143,Beau Brinkley (FA),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.2%,2017,15196,,,,,,,
144,Tyler Ott (BAL),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2017,15298,,,,,,,
145,Kevin McDermott (FA),0,0,0,0.0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%,2017,15371,,,,,,,
146,Andrew DePaola (MIN),0,0,0,0.0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%,2017,15392,,,,,,,
147,Bronson Kaufusi (FA),0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2017,15574,,,,,,,
148,Henry Krieger-Coble (FA),0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2017,15772,,,,,,,
149,Ben Braunecker (FA),0,0,0,0.0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%,2017,15842,,,,,,,
1,Travis Kelce (KC),103,150,1336,13.0,43,26,10,0,0,0,1,16,243.1,15.2,100.0%,2018,11594,29.0,Travis Kelce KC (12),TE2,,,,31.0
2,Zach Ertz (ARI),116,156,1163,10.0,34,14,8,0,0,0,0,16,222.3,13.9,20.8%,2018,11689,38.0,Zach Ertz ARI (9),TE3,,,,38.5
3,George Kittle (SF),88,136,1377,15.6,85,40,5,1,10,0,0,16,214.7,13.4,99.1%,2018,16499,125.0,George Kittle SF (11),TE13,,,,130.5
4,Eric Ebron (FA),66,110,750,11.4,53,10,13,3,-8,1,1,16,189.2,11.8,0.0%,2018,12143,159.0,Eric Ebron,TE16,,,,167.0
5,Jared Cook (FA),68,101,896,13.2,45,21,6,0,0,0,0,16,159.6,10.0,0.0%,2018,9265,202.0,Jared Cook,TE22,,,,172.0
6,Austin Hooper (LV),71,88,660,9.3,36,10,4,0,0,0,0,16,127.5,8.0,1.0%,2018,15581,170.0,Austin Hooper LV (),TE18,,,,176.5
7,Trey Burton (FA),54,76,569,10.5,47,10,6,1,2,0,1,16,120.1,7.5,0.0%,2018,12153,82.0,Trey Burton O,TE9,,,,81.5
8,Kyle Rudolph (FA),64,82,634,9.9,44,8,4,0,0,0,0,16,119.4,7.5,0.0%,2018,9906,79.0,Kyle Rudolph,TE8,,,,78.0
9,David Njoku (CLE),56,88,639,11.4,66,14,4,0,0,0,0,16,115.9,7.2,90.3%,2018,16399,110.0,David Njoku CLE (11),TE11,,,,114.5
10,Vance McDonald (FA),50,72,610,12.2,75,12,4,0,0,0,1,15,108.0,7.2,0.0%,2018,11699,219.0,Vance McDonald,TE25,,,,191.0
11,Rob Gronkowski (FA),47,72,682,14.5,42,13,3,0,0,0,1,13,107.7,8.3,1.1%,2018,9721,22.0,Rob Gronkowski,TE1,,,,22.5
12,Evan Engram (JAC),45,64,577,12.8,54,18,3,3,36,0,0,11,103.8,9.4,92.9%,2018,16411,64.0,Evan Engram JAC (9),TE6,,,,68.0
13,O.J. Howard (FA),34,48,565,16.6,75,16,5,0,0,0,0,10,103.5,10.4,0.1%,2018,16380,144.0,O.J. Howard O,TE15,,,,154.0
14,Jimmy Graham (NO),55,89,636,11.6,54,11,2,0,0,0,0,16,103.1,6.4,0.3%,2018,9712,51.0,Jimmy Graham NO (6),TE4,,,,53.5
15,Chris Herndon IV (FA),39,56,502,12.9,32,10,4,0,0,0,0,16,93.7,5.9,0.0%,2018,17536,474.0,Chris Herndon IV,TE71,,,,462.0
16,Jordan Reed (FA),54,84,558,10.3,34,8,2,0,0,0,1,13,92.8,7.1,19.0%,2018,11690,93.0,Jordan Reed O,TE10,,,,96.0
17,Mark Andrews (BAL),34,50,552,16.2,74,15,3,0,0,0,0,16,90.2,5.6,99.9%,2018,17269,293.0,Mark Andrews BAL (10),TE38,,,,274.0
18,C.J. Uzomah (NYJ),43,64,439,10.2,29,6,3,0,0,0,0,16,83.4,5.2,0.2%,2018,14084,,,,,,,
19,Cameron Brate (FA),30,49,289,9.6,21,2,6,0,0,0,1,16,77.9,4.9,2.0%,2018,13470,184.0,Cameron Brate,TE20,,,,151.0
20,Dallas Goedert (PHI),33,44,334,10.1,32,6,4,0,0,0,0,16,73.9,4.6,96.6%,2018,17270,262.0,Dallas Goedert PHI (9),TE30,,,,237.0
21,Gerald Everett (LAC),33,50,320,9.7,40,6,3,2,16,0,0,16,70.1,4.4,49.4%,2018,16459,301.0,Gerald Everett LAC (8),TE41,,,,283.0
22,Benjamin Watson (FA),35,46,400,11.4,32,7,2,0,0,0,0,16,69.5,4.3,2.8%,2018,9040,177.0,Benjamin Watson,TE19,,,,179.5
23,Jesse James (NO),30,39,423,14.1,51,15,2,0,0,0,0,16,69.3,4.3,0.0%,2018,13959,261.0,Jesse James NO (6),TE29,,,,236.0
24,Greg Olsen (FA),27,38,291,10.8,23,2,4,0,0,0,0,9,66.6,7.4,7.0%,2018,9238,60.0,Greg Olsen O,TE5,,,,63.0
25,Ian Thomas (CAR),36,49,333,9.3,31,5,2,0,0,0,0,16,63.3,4.0,0.1%,2018,17387,,,,,,,
26,Vernon Davis (FA),25,36,367,14.7,53,14,2,0,0,0,0,14,63.2,4.5,1.6%,2018,9621,267.0,Vernon Davis,TE32,,,,243.0
27,Blake Jarwin (FA),27,36,307,11.4,39,5,3,0,0,0,0,16,62.2,3.9,4.0%,2018,16638,273.0,Blake Jarwin,TE34,,,,251.0
28,Antonio Gates (FA),28,45,333,11.9,27,5,2,0,0,0,1,16,61.3,3.8,0.2%,2018,9027,282.0,Antonio Gates,TE37,,,,262.0
29,Nick Vannett (HOU),29,43,269,9.3,32,2,3,0,0,0,0,15,59.4,4.0,0.0%,2018,15645,316.0,Nick Vannett HOU (10),TE44,,,,300.0
30,Ricky Seals-Jones (IND),34,69,343,10.1,40,9,1,0,0,0,0,15,57.3,3.8,0.0%,2018,16730,194.0,Ricky Seals-Jones IND (9),TE21,,,,188.0
31,Jeff Heuerman (FA),31,48,281,9.1,36,3,2,0,0,0,0,11,55.6,5.1,0.0%,2018,13961,417.0,Jeff Heuerman O,TE59,,,,404.0
32,Jordan Thomas (CAR),20,27,215,10.8,39,3,4,0,0,0,0,16,55.5,3.5,0.0%,2018,17399,,,,,,,
33,Jonnu Smith (ATL),20,30,258,12.9,61,6,3,0,0,0,0,13,53.8,4.1,0.3%,2018,16460,327.0,Jonnu Smith ATL (8) O,TE45,,,,311.0
34,Tyler Higbee (LAR),24,34,292,12.2,36,5,2,0,0,0,0,16,53.2,3.3,70.1%,2018,15623,380.0,Tyler Higbee LAR (12),TE55,,,,366.0
35,Rhett Ellison (FA),25,34,272,10.9,29,2,1,0,0,0,0,14,47.7,3.4,0.0%,2018,11315,,,,,,,
36,Jack Doyle (FA),26,33,245,9.4,20,1,2,0,0,0,1,6,47.5,7.9,2.0%,2018,11987,120.0,Jack Doyle O,TE12,,,,124.0
37,Geoff Swaim (ARI),26,32,242,9.3,43,6,1,0,0,0,0,9,43.2,4.8,0.0%,2018,14164,312.0,Geoff Swaim ARI (9) O,TE43,,,,295.0
38,Matt LaCosse (FA),24,37,250,10.4,44,3,1,0,0,0,0,15,43.0,2.9,0.0%,2018,14288,,,,,,,
39,Levine Toilolo (FA),21,24,263,12.5,39,3,1,0,0,0,0,16,42.8,2.7,0.0%,2018,11694,,,,,,,
40,Ryan Griffin (FA),24,43,305,12.7,47,6,0,0,0,0,0,14,42.5,3.0,0.0%,2018,11830,266.0,Ryan Griffin,TE31,,,,242.0
41,Demetrius Harris (FA),12,25,164,13.7,35,3,3,0,0,0,0,15,40.4,2.7,0.0%,2018,11881,463.0,Demetrius Harris S,TE66,,,,451.0
42,Ed Dickson (FA),12,13,143,11.9,42,4,3,1,9,0,0,10,39.2,3.9,0.0%,2018,9706,274.0,Ed Dickson,TE35,,,,253.0
43,Jason Croom (FA),22,35,259,11.8,26,5,1,0,0,0,2,15,38.9,2.6,0.0%,2018,16770,,,,,,,
44,Anthony Firkser (NE),19,20,225,11.8,28,3,1,0,0,0,0,12,38.0,3.2,0.0%,2018,16787,,,,,,,
45,Virgil Green (FA),19,27,210,11.1,26,5,1,0,0,0,0,16,36.5,2.3,0.0%,2018,10026,281.0,Virgil Green,TE36,,,,261.0
46,Luke Stocker (FA),15,21,165,11.0,31,3,2,1,0,0,0,16,36.0,2.3,0.0%,2018,9948,,,,,,,
47,Darren Fells (FA),11,12,117,10.6,49,3,3,0,0,0,0,16,35.2,2.2,0.0%,2018,13636,,,,,,,
48,James O'Shaughnessy (FA),24,38,214,8.9,17,0,0,0,0,0,0,14,33.4,2.4,0.0%,2018,14146,,,,,,,
49,Nick Boyle (FA),23,37,213,9.3,25,1,0,0,0,0,0,16,32.8,2.1,0.0%,2018,13963,457.0,Nick Boyle,TE64,,,,445.0
50,Michael Roberts (FA),9,20,100,11.1,29,1,3,0,0,0,0,8,32.5,4.1,0.0%,2018,16500,346.0,Michael Roberts,TE48,,,,330.0
51,Josh Hill (FA),16,24,185,11.6,23,4,1,0,0,0,0,16,32.5,2.0,0.0%,2018,13565,478.0,Josh Hill,TE74,,,,466.0
52,Lance Kendricks (FA),19,25,170,8.9,22,2,1,0,0,0,0,16,32.5,2.0,0.0%,2018,9912,467.0,Lance Kendricks,TE69,,,,455.0
53,Will Dissly (SEA),8,14,156,19.5,66,7,2,0,0,0,0,4,31.6,7.9,0.3%,2018,18049,,,,,,,
54,Tyler Eifert (FA),15,19,179,11.9,29,2,1,0,0,0,0,4,31.4,7.9,0.0%,2018,11692,135.0,Tyler Eifert O,TE14,,,,146.0
55,Jordan Akins (CLE),17,25,225,13.2,28,3,0,0,0,0,0,16,31.0,1.9,0.1%,2018,17415,372.0,Jordan Akins CLE (11),TE52,,,,357.0
56,Erik Swoope (FA),8,10,87,10.9,26,1,3,0,0,0,0,7,30.7,4.4,0.0%,2018,12352,,,,,,,
57,Lee Smith (FA),10,11,73,7.3,30,2,3,0,0,0,0,16,30.3,1.9,0.0%,2018,9992,466.0,Lee Smith,TE68,,,,454.0
58,Mike Gesicki (NE),22,32,202,9.2,27,1,0,0,0,0,1,16,29.2,1.8,19.5%,2018,17272,209.0,Mike Gesicki NE (11),TE23,,,,179.0
59,Maxx Williams (FA),16,17,143,8.9,25,3,1,3,8,0,0,13,29.1,2.2,0.0%,2018,13919,,,,,,,
60,Mo Alie-Cox (IND),7,14,133,19.0,34,5,2,0,0,0,0,9,28.8,3.2,0.2%,2018,16579,,,,,,,
61,Hayden Hurst (CAR),13,23,163,12.5,32,4,1,1,0,0,0,12,28.8,2.4,7.6%,2018,17283,216.0,Hayden Hurst CAR (4),TE24,,,,187.0
62,Dan Arnold (PHI),12,19,150,12.5,25,4,1,0,0,0,0,10,27.0,2.7,0.1%,2018,17143,,,,,,,
63,Charles Clay (FA),21,36,184,8.8,21,2,0,0,0,0,1,13,26.9,2.1,0.0%,2018,10003,224.0,Charles Clay,TE26,,,,197.0
