Player,ATT_RUSHING,YDS_RUSHING,TDS_RUSHING,REC_RECEIVING,YDS_RECEIVING,TDS_RECEIVING,FL_MISC,FPTS_MISC_proj,Season,pid,FPTS_MISC_real,FPTS/G_MISC
Reggie Gilliam BUF,2.1,7.8,0.1,1.5,11.2,0.1,0.0,3.4,2020,19844,8.6,0.6
Reggie Gilliam BUF,2.1,7.8,0.1,1.5,11.2,0.1,0.0,3.4,2020,19844,0.0,0.0
Jonathan Williams WAS,1.6,6.4,0.0,1.2,8.6,0.0,0.0,2.2,2020,15611,2.6,0.5
Damarea Crockett NYJ,0.9,3.4,0.0,0.4,3.1,0.0,0.0,0.9,2020,18617,,
Austin Walter LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,19032,3.5,0.9
John Kelly Jr. CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,17304,,
Craig Reynolds DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,19074,1.2,0.6
Nick Bawden NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,17587,,
Jason Cabinda DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,17429,0.0,0.0
D'Onta Foreman CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,16407,16.5,2.8
JaMycal Hasty JAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,19627,27.6,3.5
Mike Weber NYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,18619,,
Salvon Ahmed MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,19449,63.5,10.6
Christian McCaffrey SF,293.9,1267.9,11.6,92.7,755.8,4.4,1.7,341.6,2021,16393,109.0,15.6
Alvin Kamara NO,208.5,1008.5,10.4,82.0,703.9,3.4,1.5,292.1,2021,16421,211.2,16.2
Derrick Henry TEN,350.1,1724.3,14.0,24.8,188.1,1.0,2.6,288.6,2021,15514,184.3,23.0
Aaron Jones GB,231.1,1145.9,10.0,54.4,413.5,2.8,1.6,256.7,2021,16673,203.0,13.5
Austin Ekeler LAC,182.9,845.8,5.0,83.7,696.5,4.7,1.3,251.4,2021,16483,308.8,19.3
Saquon Barkley NYG,258.4,1160.1,8.8,55.5,440.4,2.2,1.2,251.3,2021,17240,128.1,9.2
Jonathan Taylor IND,270.3,1209.3,10.6,41.6,321.7,1.4,1.6,242.7,2021,19217,353.1,20.8
Nick Chubb CLE,276.4,1350.1,11.1,27.5,221.6,1.1,1.8,240.2,2021,17246,205.3,14.7
Joe Mixon CIN,267.4,1125.5,8.1,49.9,368.6,2.7,1.5,236.6,2021,16420,266.9,16.7
Najee Harris PIT,261.1,1126.0,8.8,47.8,357.3,2.1,2.2,232.7,2021,19302,263.7,15.5
Antonio Gibson WAS,250.6,1077.6,9.3,45.8,330.0,1.5,1.4,225.3,2021,19624,208.1,13.0
Clyde Edwards-Helaire KC,230.5,1026.1,8.0,48.9,377.1,2.2,1.2,223.8,2021,19325,107.0,10.7
David Montgomery DET,253.1,1058.9,8.0,45.3,360.8,1.7,1.6,219.5,2021,18239,175.0,12.5
D'Andre Swift PHI,184.1,841.2,7.7,62.9,486.1,2.3,2.5,219.1,2021,19210,177.9,13.7
Miles Sanders CAR,221.8,1051.0,7.3,42.0,338.6,1.7,1.8,210.4,2021,18283,104.2,8.7
James Robinson NYG,232.8,1019.8,7.1,46.5,333.2,1.6,1.1,209.1,2021,19631,158.4,11.3
Josh Jacobs LV,259.8,1058.6,9.2,30.5,233.2,0.9,1.7,201.9,2021,18269,199.0,13.3
Myles Gaskin MIA,196.0,849.2,6.0,46.6,369.1,2.1,2.2,189.1,2021,17251,149.1,8.8
Chase Edmonds TB,161.5,704.1,4.6,53.6,417.6,3.0,1.0,182.5,2021,17496,121.8,10.2
Gus Edwards BAL,228.9,1040.1,8.8,14.1,115.0,0.6,1.7,176.0,2021,17687,,
Damien Harris BUF,218.5,1037.3,7.1,13.5,102.0,0.3,1.0,162.9,2021,18230,201.1,13.4
Melvin Gordon III BAL,174.1,833.6,6.3,26.4,179.4,1.0,2.5,153.4,2021,13903,181.2,11.3
Raheem Mostert MIA,156.0,797.0,6.1,22.0,192.8,1.2,1.6,150.3,2021,14338,2.0,2.0
Javonte Williams DEN,186.5,747.2,5.3,24.0,184.2,1.0,1.5,140.0,2021,22739,183.4,10.8
James Conner ARI,159.6,682.9,5.6,25.6,185.8,0.8,1.1,135.6,2021,16447,239.2,15.9
Kenyan Drake IND,130.9,545.4,4.7,38.5,264.9,1.3,1.1,134.0,2021,15637,87.5,7.3
Ronald Jones II DAL,174.5,752.9,5.9,16.8,116.4,0.5,1.1,131.8,2021,17243,74.2,4.9
Trey Sermon PHI,162.5,663.3,5.8,19.7,155.1,1.2,1.3,131.3,2021,19425,26.8,4.5
Zack Moss IND,159.2,665.1,5.4,22.5,159.0,1.1,0.8,130.9,2021,19263,93.7,7.2
Jamaal Williams NO,141.5,556.8,3.7,32.1,222.3,1.1,0.8,121.3,2021,16424,106.8,8.2
Michael Carter NYJ,151.2,566.6,3.6,26.3,196.2,1.1,1.3,115.1,2021,22728,136.4,9.7
Devin Singletary HOU,125.0,529.8,2.7,32.6,234.1,1.2,1.0,114.0,2021,18280,177.8,10.5
Tony Pollard DAL,114.4,498.1,3.3,30.9,230.8,1.3,1.0,113.6,2021,18705,143.1,9.5
Nyheim Hines BUF,60.4,278.2,2.0,48.5,367.3,2.1,0.8,111.7,2021,17297,92.6,5.4
AJ Dillon GB,142.9,612.2,4.7,11.8,87.8,0.4,1.1,104.4,2021,19358,168.6,9.9
Latavius Murray BUF,117.0,483.5,3.4,21.8,151.5,0.9,2.0,96.2,2021,11821,98.6,7.0
Ty'Son Williams ARI,111.4,489.6,3.7,14.7,108.9,0.5,0.7,91.1,2021,19636,37.4,4.7
Alexander Mattison MIN,117.9,492.0,2.8,15.5,123.7,0.7,0.6,88.9,2021,18621,109.9,6.9
